id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
69,COMP_M,18,18_96,M.USER.APP.18,68,166,61,37,None,66.07106598984771,105.00003226232,171.0710982521677,100.0,105.00003226232
4,COMP_M,1,1_3,M.USER.APP.1,3,73,93,34,None,49.72504708097929,105.00003617541333,154.72508325639262,100.0,105.00003617541333
70,COMP_M,19,19_102,M.USER.APP.19,69,174,9,33,None,60.69910514541387,105.00004963321334,165.6991547786272,100.0,105.00004963321334
16,COMP_M,6,6_29,M.USER.APP.6,15,102,46,90,None,34.22354340071344,110.00007265944001,144.22361606015346,100.0,110.00007265944001
6,COMP_M,2,2_10,M.USER.APP.2,5,80,3,4,None,56.79434850863422,110.00007575135999,166.7944242599942,100.0,110.00007575135999
26,COMP_M,8,8_43,M.USER.APP.8,25,113,46,29,None,27.927741935483873,110.00007761482667,137.92781955031055,100.0,110.00007761482667
1,COMP_M,0,0_0,M.USER.APP.0,0,70,20,19,None,64.89208633093526,110.00008879047999,174.89217512141525,100.0,110.00008879047999
49,COMP_M,14,14_76,M.USER.APP.14,48,147,81,2,None,42.24537607891492,110.0000981932,152.24547427211493,100.0,110.0000981932
14,COMP_M,5,5_24,M.USER.APP.5,13,94,10,70,None,119.73502304147465,115.00006391872,234.73508696019465,100.0,115.00006391872
32,COMP_M,11,11_60,M.USER.APP.11,31,130,67,38,None,178.13888888888889,115.00006421460002,293.1389531034889,100.0,115.00006421460002
56,COMP_M,15,15_81,M.USER.APP.15,55,151,32,13,None,30.135048231511256,115.00006608683998,145.13511431835124,100.0,115.00006608683998
27,COMP_M,9,9_48,M.USER.APP.9,26,118,16,4,None,93.42229199372056,115.0000794114,208.42237140512054,100.0,115.0000794114
7,COMP_M,3,3_12,M.USER.APP.3,6,82,38,41,None,44.904862579281186,115.00009115432002,159.9049537336012,100.0,115.00009115432002
12,COMP_M,4,4_21,M.USER.APP.4,11,91,97,74,None,88.91099476439791,115.00011866647999,203.9111134308779,100.0,115.00011866647999
38,COMP_M,12,12_63,M.USER.APP.12,37,137,81,50,None,74.97068965517241,115.00011906128,189.9708087164524,100.0,115.00011906128
44,COMP_M,13,13_68,M.USER.APP.13,43,138,67,58,None,111.5065502183406,120.00010226314666,231.50665248148727,100.0,120.00010226314666
65,COMP_M,17,17_92,M.USER.APP.17,64,162,62,97,None,26.586734693877553,120.00017118581331,146.58690587969087,100.0,120.00017118581331
21,COMP_M,7,7_35,M.USER.APP.7,20,105,55,35,None,48.26299045599151,120.00020625357334,168.26319670956485,100.0,120.00020625357334
28,COMP_M,10,10_52,M.USER.APP.10,27,122,38,90,None,68.61474435196195,125.00018021761335,193.6149245695753,100.0,125.00018021761335
61,COMP_M,16,16_87,M.USER.APP.16,60,161,61,17,None,53.94965675057208,125.00022368006667,178.94988043063876,100.0,125.00022368006667
25,COMP_M,8,8_43,M.USER.APP.8,24,113,24,29,None,27.927741935483873,137.92781955031055,165.85556148579442,100.0,115.00011642224
17,COMP_M,6,6_29,M.USER.APP.6,16,102,62,90,None,34.22354340071344,144.22361606015346,178.44715946086689,100.0,115.00010898916001
60,COMP_M,15,15_81,M.USER.APP.15,59,151,93,13,None,30.135048231511256,145.13511431835124,175.2701625498625,100.0,120.00008811578664
66,COMP_M,17,17_92,M.USER.APP.17,65,162,88,97,None,26.586734693877553,146.58690587969087,173.17364057356843,100.0,125.00021398226664
26,COMP_M,8,8_45,8_(43-45),113,115,29,0,8_43,41.98777777777778,147.92793867412385,189.91571645190163,137.92781955031055,147.92793867412385
16,COMP_M,6,6_30,6_(29-30),102,103,90,40,6_29,40.76236044657097,149.22367550207346,189.98603594864443,144.22361606015346,149.22367550207346
48,COMP_M,14,14_76,M.USER.APP.14,47,147,77,2,None,42.24537607891492,152.24547427211493,194.49085035102985,100.0,110.00011701221334
26,COMP_M,8,8_46,8_(43-46),113,116,29,20,8_43,40.6453125,152.9279348226439,193.5732473226439,137.92781955031055,152.9279348226439
26,COMP_M,8,8_44,8_(43-44),113,114,29,66,8_43,102.69431279620854,152.9279540891905,255.62226688539903,137.92781955031055,152.9279540891905
2,COMP_M,1,1_3,M.USER.APP.1,1,73,33,34,None,49.72504708097929,154.72508325639262,204.45013033737192,100.0,120.00014470165331
56,COMP_M,15,15_85,15_(81-85),151,155,13,80,15_81,88.46706586826348,160.13528907479122,248.6023549430547,145.13511431835124,160.13528907479122
65,COMP_M,17,17_93,17_(92-93),162,163,97,70,17_92,124.30875576036867,161.5870103718909,285.89576613225955,146.58690587969087,161.5870103718909
49,COMP_M,14,14_80,14_(76-80),147,146,2,38,14_76,213.36111111111111,162.24554705539495,375.60665816650607,152.24547427211493,162.24554705539495
49,COMP_M,14,14_77,14_(76-77),147,148,2,86,14_76,39.83307332293292,162.24558477232827,202.07865809526118,152.24547427211493,162.24558477232827
